semester,course,credits
1,Communicative English,3
1,Calculus,4
1,Applied Physics,4
1,Digital Systems,4
1,Problem Solving and C Programming,3
1,Communication Skill Laboratory (Language),2
1,C Programming Laboratory,2
2,Technical Communication,3
2,Transform Techniques and Partial Differential Equations,4
2,Chemistry of Materials,4
2,Object Oriented Programming in C++,4
2,Data Structures,3
2,Computer Architecture,3
2,Data Structures Laboratory,2
3,Logic and Abstract Algebra,4
3,Combinatorics and Graph Theory,4
3,Microprocessor and Applications,4
3,Operating Systems,3
3,Signals and Systems,4
3,Operating Systems Laboratory,2
3,Python Programming Laboratory,2
4,Probability and Statistics,4
4,Theory of Computation,4
4,Database Management Systems,3
4,Java and Internet Programming,3
4,Computer Networks,4
4,Java and Internet Programming Laboratory,2
4,Database Management Systems Laboratory,2
4,Computational Laboratory using R,2
5,Advanced Database Management Systems,4
5,Software Engineering,3
5,Data Warehousing and Mining,4
5,Design and Analysis of Algorithms,4
5,.NET Programming,3
5,Linear Algebra,3
5,Information Coding Techniques,3
5,Human Computer Interface,3
5,Open Source Systems,3
5,High speed networks,3
5,Unix Internals,3
5,Database Tuning,3
5,Software Project Management,3
5,Personal Software Processes,3
5,Software Development Laboratory,2
6,Operations Research,4
6,Computer Graphics and Multimedia,3
6,Web Technology,3
6,Artificial Intelligence,4
6,Visualization Techniques,3
6,Digital Image Processing,3
6,Network Programming,3
6,Soft Computing,3
6,Natural Language Processing,3
6,Information Security,3
6,Computer Graphics and Multimedia Laboratory,2
6,Mini Project,2
7,Industrial Project,16
8,Advanced Statistical Methods for Computing,4
8,Big Data Analytics,4
8,Distributed and Cloud Computing,4
8,Environmental Science and Engineering,3
8,Adhoc and Sensor Networks,3
8,Information Retrieval Techniques,3
8,Semantic Web,3
8,Performance Evaluation of System and Networks,3
8,Bio Informatics,3
8,Total Quality Management,3
8,Graph Theory,3
8,Statistical Method,3
8,Creative and Innovative Project,2
9,Numerical Methods,4
9,Internet Of Things,3
9,Advanced Machine Learning Techniques,4
9,3G & 4G Wireless Networks,3
9,Computational Linguistics,3
9,Mobile and Pervasive Computing,3
9,Computer Vision,3
9,Biometrics,3
9,Multimedia Information Storage and Retrieval,3
9,Game Programming,3
9,Augmented Reality and Virtual Reality,3
9,Pattern Recognition,3
9,Multimedia Tools and Techniques,3
9,Software Testing and Quality Assurance,3
9,Graph Theory,3
9,Statistical Methods,3
9,Numerical Methods Laboratory,2
9,Internet Of Things Laboratory,2
10,Project Work,18
